SKU	DESCRIPCION	TIPO_PRECIO	PRECIO_NETO	PRECIO_BRUTO
FC13740	RECARGA LUXURY 120-ESENCIA LUXURY SANI AIR RECARGA 120ML TOKIO WHITE CEDAR	DETALLE	6714	7990
FC13740	RECARGA LUXURY 120-ESENCIA LUXURY SANI AIR RECARGA 120ML TOKIO WHITE CEDAR	MAYOR 6 UN.	4193	4990
FC13741	RECARGA LUXURY 120-ESENCIA LUXURY SANI AIR RECARGA 120ML MALDIVES BEACH ESSENCE	DETALLE	6714	7990
FC13741	RECARGA LUXURY 120-ESENCIA LUXURY SANI AIR RECARGA 120ML MALDIVES BEACH ESSENCE	MAYOR 6 UN.	4193	4990
FC13742	RECARGA LUXURY 120-ESENCIA LUXURY SANI AIR RECARGA 120ML MONACO AQUA BLEND	DETALLE	6714	7990
FC13742	RECARGA LUXURY 120-ESENCIA LUXURY SANI AIR RECARGA 120ML MONACO AQUA BLEND	MAYOR 6 UN.	4193	4990
FC13743	RECARGA LUXURY 120-ESENCIA LUXURY SANI AIR RECARGA 120ML SINGAPORE GREEN LEMONGRASS	DETALLE	6714	7990
FC13743	RECARGA LUXURY 120-ESENCIA LUXURY SANI AIR RECARGA 120ML SINGAPORE GREEN LEMONGRASS	MAYOR 6 UN.	4193	4990
FC13744	RECARGA LUXURY 120-ESENCIA LUXURY SANI AIR RECARGA 120ML CAPRI RIVERA CITRUS	DETALLE	6714	7990
FC13744	RECARGA LUXURY 120-ESENCIA LUXURY SANI AIR RECARGA 120ML CAPRI RIVERA CITRUS	MAYOR 6 UN.	4193	4990
FC13745	RECARGA LUXURY 120-ESENCIA LUXURY SANI AIR RECARGA 120ML DUBAY VANILLA AMBER	DETALLE	6714	7990
FC13745	RECARGA LUXURY 120-ESENCIA LUXURY SANI AIR RECARGA 120ML DUBAY VANILLA AMBER	MAYOR 6 UN.	4193	4990
FC13746	RECARGA LUXURY 500-ESENCIA LUXURY SANI AIR RECARGA 500ML TOKIO WHITE CEDAR	DETALLE	15118	17990
FC13746	RECARGA LUXURY 500-ESENCIA LUXURY SANI AIR RECARGA 500ML TOKIO WHITE CEDAR	MAYOR 3 UN.	10916	12990
FC13747	RECARGA LUXURY 500-ESENCIA LUXURY SANI AIR RECARGA 500ML MALDIVES BEACH ESSENCE	DETALLE	15118	17990
FC13747	RECARGA LUXURY 500-ESENCIA LUXURY SANI AIR RECARGA 500ML MALDIVES BEACH ESSENCE	MAYOR 3 UN.	10916	12990
FC13748	RECARGA LUXURY 500-ESENCIA LUXURY SANI AIR RECARGA 500ML MONACO AQUA BLEND	DETALLE	15118	17990
FC13748	RECARGA LUXURY 500-ESENCIA LUXURY SANI AIR RECARGA 500ML MONACO AQUA BLEND	MAYOR 3 UN.	10916	12990
FC13749	RECARGA LUXURY 500-ESENCIA LUXURY SANI AIR RECARGA 500ML SINGAPUR GREEN LEMONGRASS	DETALLE	15118	17990
FC13749	RECARGA LUXURY 500-ESENCIA LUXURY SANI AIR RECARGA 500ML SINGAPUR GREEN LEMONGRASS	MAYOR 3 UN.	10916	12990
FC13750	RECARGA LUXURY 500-ESENCIA LUXURY SANI AIR RECARGA 500ML CAPRI RIVERA CITRUS	DETALLE	15118	17990
FC13750	RECARGA LUXURY 500-ESENCIA LUXURY SANI AIR RECARGA 500ML CAPRI RIVERA CITRUS	MAYOR 3 UN.	10916	12990
FC13751	RECARGA LUXURY 500-ESENCIA LUXURY SANI AIR RECARGA 500ML DUBAY VANILLA AMBER	DETALLE	15118	17990
FC13751	RECARGA LUXURY 500-ESENCIA LUXURY SANI AIR RECARGA 500ML DUBAY VANILLA AMBER	MAYOR 3 UN.	10916	12990
